level,file,issue,metric,n
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,MORENA,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_NULOS,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_VALIDOS,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PRI,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PT,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PVEM,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,TOTAL_VOTOS,172
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PAN,171
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PRD,167
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_MORENA,154
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,MC,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PAN,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PRI,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PT,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,153
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,MC,153
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_VALIDOS,153
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,TOTAL_VOTOS,153
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,MC,153
